box,title,address,type,types,kosher,phone,image-src
קרפה דיים - CARAPE DIEM,"קרפה דיים - CARAPE DIEM, תל אביב","טשרניחובסקי 21, תל אביב",בית קפה,null,₪,053-9381366,https://images.rest.co.il/Rests/staticmaps/80291727/s1w566h250lon34.771347lat32.072439.png
חומוסיית נאדר הגדול,"חומוסיית נאדר הגדול, תל אביב","דרך בן צבי 35, תל אביב",חומוס,null,null,053-9416010,https://images.rest.co.il/Rests/staticmaps/80289414/s1w566h250lon34.76414lat32.048787.png
FISHAND,"FISHAND, תל אביב","הלל הזקן 18, תל אביב",null,null,null,03-6984555,https://images.rest.co.il/Rests/staticmaps/80323362/s1w566h250lon34.778934lat32.066236.png
קפה צפון,"קפה צפון, צפון תל אביב","שד' רוקח ישראל 73, צפון תל אביב",בית קפה,null,null,053-7931720,https://images.rest.co.il/Rests/staticmaps/80174577/s1w566h250lon34.79824lat32.101013.png
קייטרינג סלומון,"קייטרינג סלומון, תל אביב","מח""ל 58, תל אביב",קייטרינג,null,null,053-9380982,https://images.rest.co.il/Rests/staticmaps/80223365/s1w566h250lon34.808264lat32.049054.png
דאבל סטנדרט,"דאבל סטנדרט, דיזנגוף, תל אביב","דיזנגוף 247, תל אביב",פאב-בר,null,null,053-4272494,https://images.rest.co.il/Rests/staticmaps/80238050/s1w566h250lon34.77627lat32.092567.png
כדור של פיצה,"כדור של פיצה, פלורנטין, תל אביב","ויטל חיים 20, פלורנטין, תל אביב",פיצריה,null,null,053-9387676,https://images.rest.co.il/Rests/staticmaps/80230779/s1w566h250lon34.767649lat32.055016.png
האופה מבגדד,"האופה מבגדד, תל אביב","חירותנו 11, תל אביב",קונדיטוריה-מאפיה,null,null,03-5376162,https://images.rest.co.il/Rests/staticmaps/80143338/s1w566h250lon34.791944lat32.046385.png
טי אל וי לאונג' - TLV Lounge,"טי אל וי לאונג' - TLV Lounge, נמל תל-אביב","יקותיאלי יוסף 6, נמל תל-אביב",מסעדה אסייאתית,null,null,053-9383330,https://images.rest.co.il/Rests/staticmaps/80290519/s1w566h250lon34.775943lat32.101622.png
בר קוקטלים 223,"בר קוקטלים 223, דיזנגוף, תל אביב","דיזנגוף 223, תל אביב",null,null,null,03-5446537,https://images.rest.co.il/Rests/staticmaps/80111834/s1w566h250lon34.775699lat32.090226.png
fu sushi תל אביב - Fu sushi,"fu sushi תל אביב - Fu sushi, תל אביב","דיזנגוף 302, תל אביב",מסעדה יפנית,null,₪₪,053-9443445,https://images.rest.co.il/Rests/staticmaps/80077565/s1w566h250lon34.778934lat32.066236.png
ווק ריפבליק,"ווק ריפבליק, פלורנטין, תל אביב","אברבנאל 42, פלורנטין, תל אביב",מסעדה אסייאתית,null,₪₪,053-9387623,https://images.rest.co.il/Rests/staticmaps/80230293/s1w566h250lon34.767017lat32.057467.png
מתחת לעץ,"מתחת לעץ, תל אביב","בן יהודה 202, תל אביב",בית קפה,null,null,053-9387567,https://images.rest.co.il/Rests/staticmaps/80105535/s1w566h250lon34.774125lat32.090276.png
קפה רודנסקי,"קפה רודנסקי, צפון תל אביב","רודנסקי שמואל 5, צפון תל אביב",בית קפה,null,null,053-9440335,https://images.rest.co.il/Rests/staticmaps/80070680/s1w566h250lon34.792649lat32.120541.png
che cigar bar and lounge,"che cigar bar and lounge, תל אביב","יחזקאל קויפמן 12, תל אביב",פאב-בר,null,null,053-9376061,https://images.rest.co.il/Rests/staticmaps/80269075/s1w566h250lon34.762842lat32.065552.png
suzan cooking,"suzan cooking, תל אביב",תל אביב,מטבח ביתי,null,null,052-4339915,
הקייטרינג של ערן זינו,"הקייטרינג של ערן זינו, יפו, תל אביב  שוק הפשפשים","פנחס בן יאיר 5, יפו, תל אביב",קייטרינג,null,null,054-2288550,https://images.rest.co.il/Rests/staticmaps/10435120/s1w566h250lon34.757122lat32.054387.png
פלאפל שף המנצח,"פלאפל שף המנצח, תל אביב","דרך משה דיין 129, תל אביב",חומוס,null,₪,053-5495019,https://images.rest.co.il/Rests/staticmaps/80300569/s1w566h250lon34.798664lat32.066238.png
צ'ינס באו,"צ'ינס באו, תל אביב","נוה שאנן 26, תל אביב",מסעדה אסייאתית,null,null,053-8096109,https://images.rest.co.il/Rests/staticmaps/80307641/s1w566h250lon34.78005lat32.058239.png
אספרסו בר מנדרין,"אספרסו בר מנדרין, צפון תל אביב  חוף הצוק","יוניצמן 21, צפון תל אביב",בית קפה,"אוכל איטלקי , ארוחת בוקר , בשרים , פיצה , טוסט",null,053-4362896,https://images.rest.co.il/Rests/staticmaps/80111714/s1w566h250lon34.795567lat32.142902.png
נאם תל אביב - nam,"נאם תל אביב - nam, תל אביב","דיזנגוף 293, תל אביב",מסעדה תאילנדית,אוכל אסייאתי וויגן פרנדלי,null,053-9367347,https://images.rest.co.il/Rests/staticmaps/80185271/s1w566h250lon34.778934lat32.066236.png
מיין בזאר פאב,"מיין בזאר פאב , יפו, תל אביב","עולי ציון 7, יפו, תל אביב",פאב-בר,null,null,053-8096548,https://images.rest.co.il/Rests/staticmaps/80145899/s1w566h250lon34.756629lat32.053201.png
WayCup coffee,"WayCup coffee, תל אביב","יוחנן הסנדלר 23, תל אביב",בית קפה,null,₪,053-9370389,https://images.rest.co.il/Rests/staticmaps/80204449/s1w566h250lon34.773593lat32.070429.png
פומו,"פומו, רמת החייל, תל אביב","הברזל 11, רמת החייל, תל אביב",מסעדה איטלקית,"אוכל איטלקי , בשרים ופיצה",null,053-9377113,https://images.rest.co.il/Rests/staticmaps/80268593/s1w566h250lon34.836595lat32.107226.png
מאמא אסתר תבשילים,"מאמא אסתר תבשילים, תל אביב","תושיה 12, תל אביב",מטבח ביתי,null,null,03-9191137,https://images.rest.co.il/Rests/staticmaps/80324834/s1w566h250lon34.778934lat32.066236.png
cofix,"cofix, תל אביב","המלך ג'ורג' 47, תל אביב",בית קפה,null,כשר,053-9367723,https://images.rest.co.il/Rests/staticmaps/80168544/s1w566h250lon34.775166lat32.073819.png
origem fresh coffee,"origem fresh coffee, דיזנגוף, תל אביב","דיזנגוף 203, תל אביב",בית קפה,null,null,053-9377095,https://images.rest.co.il/Rests/staticmaps/80270892/s1w566h250lon34.775081lat32.087734.png
פיצה האט,"פיצה האט , דיזנגוף, תל אביב  פינת דיזינגוף 206","ארלוזורוב 30, דיזנגוף, תל אביב",פיצריה,null,₪,053-9378278,https://images.rest.co.il/Rests/staticmaps/39338840/s1w566h250lon34.775004lat32.086821.png
"הטאבון ת""א 1998 בע""מ","הטאבון ת""א 1998 בע""מ, תל אביב","מקוה ישראל 2, תל אביב",קונדיטוריה-מאפיה,null,null,03-5666327,https://images.rest.co.il/Rests/staticmaps/39689060/s1w566h250lon34.773381lat32.062061.png
הילולים,"הילולים, תל אביב","הלוחמים 1, תל אביב",מסעדת בשרים,null,כשר למהדרין,053-9443743,https://images.rest.co.il/Rests/staticmaps/80242784/s1w566h250lon34.761134lat32.036636.png
שיינע,"שיינע, תל אביב","נחלת בנימין 59, תל אביב",null,null,null,03-5627143,https://images.rest.co.il/Rests/staticmaps/80320252/s1w566h250lon34.778934lat32.066236.png
הפינה הירוקה,"הפינה הירוקה, צפון תל אביב","שד' רוקח ישראל 80, צפון תל אביב",מסעדה צמחונית,null,כשר,053-9439920,https://images.rest.co.il/Rests/staticmaps/25583930/s1w566h250lon34.802144lat32.10078.png
מיתוס - MEATOS,"מיתוס - MEATOS, תל אביב  מגדל אמות השקעות","ויצמן 2, תל אביב",מסעדת בשרים,"בשרים , אוכל גורמה , דגים והמבורגר",כשר,03-6932002,https://images.rest.co.il/Rests/staticmaps/80189030/s1w566h250lon34.78866lat32.077598.png
